Prey	EBOV_VP35_Reproducibility	GFP_Reproducibility	MARV_VP24_Reproducibility	MARV_VP35_Reproducibility	MARV_VP40_Reproducibility	Vector_Reproducibility	EBOV_VP35_Abundance	GFP_Abundance	MARV_VP24_Abundance	MARV_VP35_Abundance	MARV_VP40_Abundance	Vector_Abundance	EBOV_VP35_Specificty	GFP_Specificty	MARV_VP24_Specificty	MARV_VP35_Specificty	MARV_VP40_Specificty	Vector_Specificty	EBOV_VP35_mist	GFP_mist	MARV_VP24_mist	MARV_VP35_mist	MARV_VP40_mist	Vector_mist	EBOV_VP35_wd	GFP_wd	MARV_VP24_wd	MARV_VP35_wd	MARV_VP40_wd	Vector_wd	EBOV_VP35_mist_percent_global	GFP_mist_percent_global	MARV_VP24_mist_percent_global	MARV_VP35_mist_percent_global	MARV_VP40_mist_percent_global	Vector_mist_percent_global	EBOV_VP35_wd_percent_global	GFP_wd_percent_global	MARV_VP24_wd_percent_global	MARV_VP35_wd_percent_global	MARV_VP40_wd_percent_global	Vector_wd_percent_global	EBOV_VP35_wd_percent_perBait	GFP_wd_percent_perBait	MARV_VP24_wd_percent_perBait	MARV_VP35_wd_percent_perBait	MARV_VP40_wd_percent_perBait	Vector_wd_percent_perBait	Entry.name	Protein.names	Gene.names
A0A0U1RRE5	0.999456608786549	0.958714370133045	0.985835203109093	0.993696449502169	0.985414601272899	0.985838286069933	0.00297735193587553	0.00489387963136135	0.0051326795518694	0.0034988695663611	0.00611177402034722	0.00624225201397287	0.103176763970697	0.169591863676502	0.177867204840439	0.121249367621882	0.211796616295603	0.216318183594877	0.379108795996004	0.41207823060863	0.426120073575547	0.389723672825996	0.449255091540688	0.452486168259284	2.12132034355964	1.95789002074512	2.23606797749979	2.16024689946929	2.34520787991171	2.19848432637882	0.430945187742751	0.536469572723317	0.589987052222664	0.469788519637438	0.69723780750966	0.711264566249408	0.476694000863183	0.430945187742769	0.524816573154939	0.502589555459644	0.554596460940869	0.512947777298228	0.362212943632568	0.563552833078101	0.494923857868019	0.430715935334873	0.570281124497992	0.669367909238251	NBDY_HUMAN	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	NBDY LINC01420
A0AVF1	NA	0.376579728580308	0.799377001616901	NA	0.348308628036973	5.58110672701622e-11	NA	0.000119862827642652	0.000151311608730738	NA	6.92968383579318e-05	2.71315376944658e-05	NA	0.326066133312977	0.411617113950359	NA	0.188510087560665	0.0738066651759994	NA	0.339708453088714	0.528800335910161	NA	0.236689624141115	0.0505953687659834	NA	2.37170824512628	3.26055976789262	NA	1.83711730708738	1.22474487139159	NA	0.322183858437628	0.826931376780253	NA	0.18083728959862	0.0489857574449721	NA	0.559775571860161	0.692490289167022	NA	0.388217522658609	0.0943029779887786	NA	0.71822358346095	0.720812182741116	NA	0.35475234270415	0.144246353322528	IFT56_HUMAN	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)	TTC26 IFT56
A1KXE4	0.973902687076196	0.967237759570261	0.997542539454523	0.999139421509328	0.990160309131499	0.992643997095832	0.000467131463292501	0.00106784783053969	0.000716398623435786	0.000524269499440565	0.000824974777321929	0.000976484942753124	0.10205823227043	0.233301908526022	0.156517774661314	0.114541670922953	0.180239341721341	0.21334107189794	0.370442918950842	0.458359021646956	0.415070569141777	0.386787071198883	0.429054948169411	0.452513710470993	1.4142135623731	1.47196014438797	1.4142135623731	1.4142135623731	1.47196014438797	1.47196014438797	0.40030211480361	0.736081139404347	0.547690979715116	0.457272334915817	0.6033664220975	0.711480362537712	0.189469141130773	0.23370738023306	0.189469141130773	0.189469141130773	0.23370738023306	0.23370738023306	0.136743215031315	0.294027565084227	0.154822335025381	0.21824480369515	0.214190093708166	0.317666126418152	F168B_HUMAN	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)	FAM168B KIAA0280L MANI
A6NDG6	0.950244776073293	0.983395812686395	0.965381791087261	0.975874831993327	0.939432653687431	0.962963286898527	0.00088204068512817	0.00211921575259773	0.00196735773340814	0.00100271426213594	0.00194654613780739	0.00239105613997257	0.0855608316566458	0.20557086006274	0.190840135466171	0.0972665633557074	0.188821342617128	0.231940266841608	0.351837083433324	0.444340620895628	0.428683790719658	0.367769839937874	0.419293676634632	0.456114685923987	2.51661147842358	2.73861278752583	3	2.51661147842358	2.85773803324704	2.94392028877595	0.349805783340517	0.673716012084544	0.601424255502766	0.391022874406546	0.56322831247299	0.728096676737106	0.590850237375914	0.625809236081136	0.66033664220975	0.590850237375914	0.643072939145443	0.652352179542508	0.45615866388309	0.785604900459419	0.677664974619289	0.498845265588914	0.6760374832664	0.828200972447327	PGP_HUMAN	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	PGP
A6NJ78	NA	NA	NA	NA	0.382609549695404	NA	NA	NA	NA	NA	0.000117078541563902	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.803557222155631	NA	NA	NA	NA	NA	14.8476960115193	NA	NA	NA	NA	NA	0.963530427276568	NA	NA	NA	NA	NA	0.89123867069485	NA	NA	NA	NA	NA	0.991967871485948	NA	MET15_HUMAN	Probable methyltransferase-like protein 15 (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1)	METTL15 METT5D1
A8CG34	0.574794243710345	NA	NA	NA	NA	NA	2.54824061453538e-05	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.862851419887093	NA	NA	NA	NA	NA	26.5603660728077	NA	NA	NA	NA	NA	0.975615019421582	NA	NA	NA	NA	NA	0.907207596029332	NA	NA	NA	NA	NA	0.78288100208768	NA	NA	NA	NA	NA	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)	POM121C
A8K7I4	0.385164931811236	NA	5.58110672701622e-11	0.897212313431626	NA	5.58110672701622e-11	1.66707270573085e-05	NA	2.83123101652465e-05	9.32441103228342e-05	NA	1.67623909788547e-05	0.1075603374011	NA	0.182672394761778	0.601615510380068	NA	0.108151757457054	0.192568722661082	NA	0.125223922091735	0.689230919318597	NA	0.0741392111754545	1.5	NA	1.73205080756888	3.89711431702997	NA	1.22474487139159	0.145662494605094	NA	0.0878290893396639	0.934829520932161	NA	0.0666810530858872	0.259818731117825	NA	0.351963746223564	0.750971083297362	NA	0.0943029779887786	0.191022964509395	NA	0.314720812182741	0.609699769053119	NA	0.144246353322528	CLCA1_HUMAN	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)	CLCA1 CACC1
E9PAV3	0.994552920421412	0.970620762781387	0.989962696416838	0.985557979000332	0.974636465715687	0.969643753087987	0.000298098274062708	0.000375540303617314	0.000341362077400068	0.000287554659716114	0.000493606486099881	0.000431984334993285	0.133787577601467	0.168543839009651	0.153204528150849	0.129055565559364	0.221532366369164	0.193876123309505	0.398563911524913	0.415006349240657	0.410458461336157	0.392544797833344	0.452570183131644	0.432070783056772	3.69684550213647	2.91547594742265	3.18852107828483	3.41565025531987	3.69684550213647	3.18852107828483	0.502157962883011	0.547259387138508	0.530643072939114	0.47949935261111	0.712127751402623	0.618687958567071	0.728528269313763	0.648899438929647	0.686016400517907	0.706517047906771	0.728528269313763	0.686016400517907	0.545929018789143	0.810107197549771	0.710659898477157	0.573903002309469	0.792503346720216	0.854132901134524	NACAM_HUMAN	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	NACA
O00165	NA	0.368005808872212	0.858054773299379	NA	NA	NA	NA	0.000150207090990393	0.000679497378576315	NA	NA	NA	NA	0.18103685890572	0.81896314109428	NA	NA	NA	NA	0.237644304594066	0.826147111861974	NA	NA	NA	NA	4.78271513751628	36.2982557623605	NA	NA	NA	NA	0.181700474751836	0.971083297367202	NA	NA	NA	NA	0.798014674147597	0.920155373327562	NA	NA	NA	NA	0.938744257274121	0.964467005076145	NA	NA	NA	HAX1_HUMAN	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	HAX1 HS1BP1
O00170	0.981408860775852	0.989975208759267	0.989691036557225	0.986199277175587	0.951575038411874	0.990090537709405	0.000775864496722058	0.00199986466426464	0.00161443329150251	0.000771601873212215	0.00184235665801804	0.00222463888364033	0.0840702876522044	0.216699176596602	0.174935019949151	0.0836084028950857	0.199632094073016	0.241055018833941	0.360429722856037	0.453998422900633	0.42527870305676	0.361591058002758	0.43045022385489	0.470731518408084	2.38047614284762	2.67706306736817	2.76887462097269	2.23606797749979	2.79880927062444	2.88675134594813	0.370090634441075	0.718601640051738	0.587397496763018	0.37375917134224	0.610487699611526	0.766508416055185	0.563875701337934	0.615666810530856	0.632067328441947	0.524816573154939	0.636814846784632	0.645230902028481	0.432150313152401	0.77488514548239	0.638324873096446	0.448036951501155	0.672021419009372	0.820097244732579	AIP_HUMAN	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)	AIP XAP2
