BAIT	id	ms_uniprot_ac	ms_unique_pep	ms_spectral_counts	names	lengths	uniprot_id	Mass
Vector	FU000385	P13797		4	sp|P13797|PLST_HUMAN	630	PLST_HUMAN	69300
Vector	FU000385	Q15233		2	sp|Q15233|NONO_HUMAN	471	NONO_HUMAN	51810
Vector	FU000385	Q13442		12	sp|Q13442|HAP28_HUMAN	181	HAP28_HUMAN	19910
Vector	FU000385	P99999		2	sp|P99999|CYC_HUMAN	105	CYC_HUMAN	11550
Vector	FU000385	Q14498		36	sp|Q14498|RBM39_HUMAN	530	RBM39_HUMAN	58300
Vector	FU000385	Q02978		1	sp|Q02978|M2OM_HUMAN	314	M2OM_HUMAN	34540
Vector	FU000385	P50990		1	sp|P50990|TCPQ_HUMAN	548	TCPQ_HUMAN	60280
Vector	FU000385	P62979		5	sp|P62979|RS27A_HUMAN	156	RS27A_HUMAN	17160
Vector	FU000385	Q9H1K1		2	sp|Q9H1K1|ISCU_HUMAN	167	ISCU_HUMAN	18370
Vector	FU000385	Q15365		14	sp|Q15365|PCBP1_HUMAN	356	PCBP1_HUMAN	39160
Vector	FU000385	P63244		3	sp|P63244|RACK1_HUMAN	317	RACK1_HUMAN	34870
Vector	FU000385	O94903		4	sp|O94903|PLPHP_HUMAN	275	PLPHP_HUMAN	30250
Vector	FU000385	P25205		6	sp|P25205|MCM3_HUMAN	808	MCM3_HUMAN	88880
Vector	FU000385	Q6P1L8		10	sp|Q6P1L8|RM14_HUMAN	145	RM14_HUMAN	15950
Vector	FU000385	Q9Y2W1		4	sp|Q9Y2W1|TR150_HUMAN	955	TR150_HUMAN	105050
Vector	FU000385	P32121		15	sp|P32121|ARRB2_HUMAN	409	ARRB2_HUMAN	44990
Vector	FU000385	Q8WWX9		1	sp|Q8WWX9|SELM_HUMAN	145	SELM_HUMAN	15950
Vector	FU000385	Q9BRP1		6	sp|Q9BRP1|PDD2L_HUMAN	358	PDD2L_HUMAN	39380
Vector	FU000385	Q9Y3I0		1	sp|Q9Y3I0|RTCB_HUMAN	505	RTCB_HUMAN	55550
Vector	FU000385	Q9NYJ1		1	sp|Q9NYJ1|COA4_HUMAN	87	COA4_HUMAN	9570
Vector	FU000385	P29372		13	sp|P29372|3MG_HUMAN	298	3MG_HUMAN	32780
Vector	FU000385	Q8IYN2		2	sp|Q8IYN2|TCAL8_HUMAN	117	TCAL8_HUMAN	12870
Vector	FU000385	P00338		1	sp|P00338|LDHA_HUMAN	332	LDHA_HUMAN	36520
Vector	FU000385	P35268		5	sp|P35268|RL22_HUMAN	128	RL22_HUMAN	14080
Vector	FU000385	Q00325		2	sp|Q00325|MPCP_HUMAN	362	MPCP_HUMAN	39820
Vector	FU000385	P26196		2	sp|P26196|DDX6_HUMAN	483	DDX6_HUMAN	53130
Vector	FU000385	O95049		3	sp|O95049|ZO3_HUMAN	919	ZO3_HUMAN	101090
Vector	FU000385	Q9H5V9		1	sp|Q9H5V9|CX056_HUMAN	222	CX056_HUMAN	24420
Vector	FU000385	P06730		2	sp|P06730|IF4E_HUMAN	217	IF4E_HUMAN	23870
Vector	FU000385	P06733		22	sp|P06733|ENOA_HUMAN	434	ENOA_HUMAN	47740
Vector	FU000385	Q9Y3B4		2	sp|Q9Y3B4|SF3B6_HUMAN	125	SF3B6_HUMAN	13750
Vector	FU000385	P21741		1	sp|P21741|MK_HUMAN	143	MK_HUMAN	15730
Vector	FU000385	P24666		1	sp|P24666|PPAC_HUMAN	158	PPAC_HUMAN	17380
Vector	FU000385	P35659		11	sp|P35659|DEK_HUMAN	375	DEK_HUMAN	41250
Vector	FU000385	Q8WUA2		15	sp|Q8WUA2|PPIL4_HUMAN	492	PPIL4_HUMAN	54120
Vector	FU000385	Q9BYC8		4	sp|Q9BYC8|RM32_HUMAN	188	RM32_HUMAN	20680
Vector	FU000385	Q15654		3	sp|Q15654|TRIP6_HUMAN	476	TRIP6_HUMAN	52360
Vector	FU000385	Q9BYB4		7	sp|Q9BYB4|GNB1L_HUMAN	327	GNB1L_HUMAN	35970
Vector	FU000385	P05387		3	sp|P05387|RLA2_HUMAN	115	RLA2_HUMAN	12650
Vector	FU000385	Q9NQ29		9	sp|Q9NQ29|LUC7L_HUMAN	371	LUC7L_HUMAN	40810
Vector	FU000385	O75694		5	sp|O75694|NU155_HUMAN	1391	NU155_HUMAN	153010
Vector	FU000385	Q96T17		4	sp|Q96T17|MA7D2_HUMAN	732	MA7D2_HUMAN	80520
Vector	FU000385	P22061		31	sp|P22061|PIMT_HUMAN	227	PIMT_HUMAN	24970
Vector	FU000385	Q9UJV9		2	sp|Q9UJV9|DDX41_HUMAN	622	DDX41_HUMAN	68420
Vector	FU000385	O95881		7	sp|O95881|TXD12_HUMAN	172	TXD12_HUMAN	18920
Vector	FU000385	Q6IQ49		3	sp|Q6IQ49|SDE2_HUMAN	451	SDE2_HUMAN	49610
Vector	FU000385	P61978		13	sp|P61978|HNRPK_HUMAN	463	HNRPK_HUMAN	50930
Vector	FU000385	O15042		54	sp|O15042|SR140_HUMAN	1029	SR140_HUMAN	113190
Vector	FU000385	Q9GZP4		3	sp|Q9GZP4|PITH1_HUMAN	211	PITH1_HUMAN	23210
Vector	FU000385	Q99714		4	sp|Q99714|HCD2_HUMAN	261	HCD2_HUMAN	28710
Vector	FU000385	Q9BTE7		4	sp|Q9BTE7|DCNL5_HUMAN	237	DCNL5_HUMAN	26070
Vector	FU000385	P51858		3	sp|P51858|HDGF_HUMAN	240	HDGF_HUMAN	26400
Vector	FU000385	Q99497		58	sp|Q99497|PARK7_HUMAN	189	PARK7_HUMAN	20790
Vector	FU000385	Q06124		3	sp|Q06124|PTN11_HUMAN	597	PTN11_HUMAN	65670
Vector	FU000385	Q13573		1	sp|Q13573|SNW1_HUMAN	536	SNW1_HUMAN	58960
Vector	FU000385	P26885		2	sp|P26885|FKBP2_HUMAN	142	FKBP2_HUMAN	15620
Vector	FU000385	Q8N5F7		8	sp|Q8N5F7|NKAP_HUMAN	415	NKAP_HUMAN	45650
Vector	FU000385	P54886		7	sp|P54886|P5CS_HUMAN	795	P5CS_HUMAN	87450
Vector	FU000385	Q3MHD2		2	sp|Q3MHD2|LSM12_HUMAN	195	LSM12_HUMAN	21450
Vector	FU000385	P35232		3	sp|P35232|PHB_HUMAN	272	PHB_HUMAN	29920
Vector	FU000385	Q13427		1	sp|Q13427|PPIG_HUMAN	754	PPIG_HUMAN	82940
Vector	FU000385	P55081		2	sp|P55081|MFAP1_HUMAN	439	MFAP1_HUMAN	48290
Vector	FU000385	P84098		2	sp|P84098|RL19_HUMAN	196	RL19_HUMAN	21560
Vector	FU000385	P26599		5	sp|P26599|PTBP1_HUMAN	531	PTBP1_HUMAN	58410
Vector	FU000385	Q9Y314		7	sp|Q9Y314|NOSIP_HUMAN	301	NOSIP_HUMAN	33110
Vector	FU000385	Q8NB15		2	sp|Q8NB15|ZN511_HUMAN	262	ZN511_HUMAN	28820
Vector	FU000385	P62829		13	sp|P62829|RL23_HUMAN	140	RL23_HUMAN	15400
Vector	FU000385	Q9NQZ6		3	sp|Q9NQZ6|ZC4H2_HUMAN	224	ZC4H2_HUMAN	24640
Vector	FU000385	Q6P1Q9		1	sp|Q6P1Q9|MET2B_HUMAN	378	MET2B_HUMAN	41580
Vector	FU000385	Q9BRA2		2	sp|Q9BRA2|TXD17_HUMAN	123	TXD17_HUMAN	13530
Vector	FU000385	Q15599		1	sp|Q15599|NHRF2_HUMAN	337	NHRF2_HUMAN	37070
Vector	FU000385	P36969		6	sp|P36969|GPX4_HUMAN	197	GPX4_HUMAN	21670
Vector	FU000385	Q96RQ3		54	sp|Q96RQ3|MCCA_HUMAN	725	MCCA_HUMAN	79750
Vector	FU000385	P84101		2	sp|P84101|SERF2_HUMAN	59	SERF2_HUMAN	6490
Vector	FU000385	Q9H1E3		1	sp|Q9H1E3|NUCKS_HUMAN	243	NUCKS_HUMAN	26730
Vector	FU000385	P37802		2	sp|P37802|TAGL2_HUMAN	199	TAGL2_HUMAN	21890
Vector	FU000385	P27816		5	sp|P27816|MAP4_HUMAN	1152	MAP4_HUMAN	126720
Vector	FU000385	Q9P0K7		2	sp|Q9P0K7|RAI14_HUMAN	980	RAI14_HUMAN	107800
Vector	FU000385	Q13428		6	sp|Q13428|TCOF_HUMAN	1488	TCOF_HUMAN	163680
Vector	FU000385	Q9BRJ7		6	sp|Q9BRJ7|TIRR_HUMAN	211	TIRR_HUMAN	23210
Vector	FU000385	P00492		3	sp|P00492|HPRT_HUMAN	218	HPRT_HUMAN	23980
Vector	FU000385	P61758		1	sp|P61758|PFD3_HUMAN	197	PFD3_HUMAN	21670
Vector	FU000385	O43809		4	sp|O43809|CPSF5_HUMAN	227	CPSF5_HUMAN	24970
Vector	FU000385	O60547		4	sp|O60547|GMDS_HUMAN	372	GMDS_HUMAN	40920
Vector	FU000385	O15347		2	sp|O15347|HMGB3_HUMAN	200	HMGB3_HUMAN	22000
Vector	FU000385	Q9HCJ3		1	sp|Q9HCJ3|RAVR2_HUMAN	691	RAVR2_HUMAN	76010
Vector	FU000385	Q13322		2	sp|Q13322|GRB10_HUMAN	594	GRB10_HUMAN	65340
Vector	FU000385	Q9H501		1	sp|Q9H501|ESF1_HUMAN	851	ESF1_HUMAN	93610
Vector	FU000385	Q9NYP9		9	sp|Q9NYP9|MS18A_HUMAN	233	MS18A_HUMAN	25630
Vector	FU000385	P04075		2	sp|P04075|ALDOA_HUMAN	364	ALDOA_HUMAN	40040
Vector	FU000385	Q6DCA0		2	sp|Q6DCA0|AMERL_HUMAN	310	AMERL_HUMAN	34100
Vector	FU000385	P53350		2	sp|P53350|PLK1_HUMAN	603	PLK1_HUMAN	66330
Vector	FU000385	Q9NWB6		5	sp|Q9NWB6|ARGL1_HUMAN	273	ARGL1_HUMAN	30030
Vector	FU000385	Q9Y237		4	sp|Q9Y237|PIN4_HUMAN	131	PIN4_HUMAN	14410
Vector	FU000385	P62263		3	sp|P62263|RS14_HUMAN	151	RS14_HUMAN	16610
