a	b	c	IP	FU000385	FU000387	FU000389	FU000391	FU000393	FU000395	FU000397	FU000399	FU000401	FU000403	FU000405	FU000407	FU000409	FU000411	FU000413	FU000415	FU000417	FU000419	FU000423	FU000425	FU000427	FU000429	FU000431	FU000433	FU000435	FU000437	FU000439	FU000441	FU000443	FU000445	FU000447	FU000449	FU000451	FU000453	FU000455	FU000457
a	b	c	Bait	Vector	Vector	GFP	GFP	EBOV_VP35	EBOV_VP35	MARV_VP35	MARV_VP35	MARV_VP24	MARV_VP24	MARV_VP40	MARV_VP40	MARV_VP40	MARV_VP40	MARV_VP24	MARV_VP24	MARV_VP35	MARV_VP35	EBOV_VP35	EBOV_VP35	GFP	GFP	Vector	Vector	Vector	EBOV_VP35	MARV_VP24	GFP	MARV_VP40	MARV_VP35	Vector	MARV_VP24	EBOV_VP35	MARV_VP40	MARV_VP35	GFP
Preys	PepAtlas	Length	PreyType/BaitCov	Vector	Vector	GFP	GFP	EBOV_VP35	EBOV_VP35	MARV_VP35	MARV_VP35	MARV_VP24	MARV_VP24	MARV_VP40	MARV_VP40	MARV_VP40	MARV_VP40	MARV_VP24	MARV_VP24	MARV_VP35	MARV_VP35	EBOV_VP35	EBOV_VP35	GFP	GFP	Vector	Vector	Vector	EBOV_VP35	MARV_VP24	GFP	MARV_VP40	MARV_VP35	Vector	MARV_VP24	EBOV_VP35	MARV_VP40	MARV_VP35	GFP
A0A0U1RRE5	1	68	N	3	6	6	6	5	5	5	4	3	5	6	6	5	6	5	5	4	6	4	5	1	3	5	6	5	4	6	3	5	5	4	6	4	5	4	4
A0AVF1	1	554	N	0	1	2	3	0	0	0	0	1	3	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A1KXE4	1	195	N	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2
A6NDG6	1	321	N	12	13	11	7	12	6	10	7	13	9	11	13	5	10	7	6	4	5	4	3	4	9	6	7	9	5	6	8	4	5	5	13	8	6	7	6
A6NJ78	1	407	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0
A8CG34	1	1229	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
A8K7I4	1	914	N	1	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0
E9PAV3	1	2078	N	12	14	8	13	16	11	13	7	8	12	16	14	15	11	11	8	11	12	15	14	6	10	8	9	13	14	10	10	18	12	5	12	12	8	15	4
O00165	1	279	N	0	0	0	2	0	0	0	0	4	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0
O00170	1	330	N	9	8	7	7	6	7	3	5	9	6	8	12	8	9	7	6	5	5	6	5	5	7	8	11	8	7	8	10	4	7	6	10	3	6	5	7
O00178	1	669	N	0	1	2	1	0	2	0	0	1	1	1	2	1	2	2	1	0	0	0	2	0	0	3	0	2	3	1	2	3	0	2	1	2	2	0	1
O00244	1	68	N	11	10	11	12	12	15	8	9	11	12	12	11	11	8	8	11	11	9	8	9	9	7	9	8	10	10	11	11	11	13	9	10	14	9	9	7
O00311	1	574	N	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00410	1	1097	N	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00411	1	1230	N	0	0	0	0	2	3	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	2	0	0	0	2	0	0	3	0	0	0
O00425	1	579	N	0	0	0	0	7	6	5	5	0	0	0	0	0	0	0	0	3	5	4	4	0	0	0	0	0	4	0	0	0	3	0	0	4	0	4	0
O00458	1	451	N	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	7	0	0	0	1	0	0	2	0	11	0	0	0	0	6	0	0
O00479	1	90	N	0	0	1	0	2	2	1	0	2	2	0	2	0	1	3	2	0	2	1	2	0	1	2	2	1	0	1	0	2	0	0	2	0	3	0	1
O00483	1	81	N	1	2	4	4	3	3	0	1	4	5	3	2	0	2	4	2	0	3	2	3	1	2	2	0	0	2	4	2	2	4	1	5	3	1	3	3
O00488	1	134	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0
O00541	1	588	N	0	0	0	0	2	2	1	0	1	0	0	0	0	0	5	0	0	2	3	4	0	0	0	0	0	2	2	0	10	0	0	0	2	5	1	1
O00566	1	681	N	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00567	1	594	N	0	0	0	0	31	29	33	31	0	0	0	0	0	0	2	0	19	26	21	24	0	0	0	0	0	27	2	0	4	26	0	0	21	3	26	0
O00571	1	662	N	9	12	10	9	4	6	6	4	11	8	8	6	6	8	6	5	5	3	8	7	7	5	4	8	6	2	7	8	5	5	7	7	4	7	3	7
O00763	1	2458	N	15	19	2	5	0	0	1	2	5	2	26	31	17	15	1	0	1	4	0	0	0	0	8	8	19	0	1	0	12	4	18	3	0	10	1	2
O14545	1	582	N	0	1	2	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
O14654	1	1257	N	2	1	2	3	21	18	2	0	4	3	1	2	0	0	3	2	2	1	24	16	1	2	0	1	0	15	2	2	0	2	0	4	7	0	0	1
O14734	1	319	N	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
O14757	1	476	N	1	3	2	3	3	0	0	1	5	2	2	2	2	3	2	3	0	1	3	0	0	2	2	2	2	1	0	2	0	0	1	1	0	0	0	1
O14933	1	153	N	0	0	0	3	0	0	0	1	0	1	0	7	3	0	4	0	4	0	3	0	4	0	2	0	0	0	0	0	0	0	2	2	2	1	1	3
O14965	1	403	N	0	0	1	3	0	4	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
O15042	1	1029	N	54	66	59	59	63	57	51	54	59	62	66	63	59	68	63	64	49	58	65	58	50	50	55	58	73	56	52	66	58	54	70	73	67	57	49	72
O15083	1	957	N	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15160	1	346	N	0	0	0	0	4	1	3	6	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	4	0
O15226	1	690	N	0	0	0	0	40	38	0	0	0	0	0	0	0	0	0	0	2	1	39	44	0	0	0	0	0	44	0	0	0	0	0	0	31	0	0	0
O15235	1	138	N	7	5	8	7	8	11	8	11	3	6	6	10	7	8	7	6	5	5	7	7	8	4	10	6	8	3	7	4	5	3	2	2	7	5	3	0
O15269	1	473	N	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
O15347	1	200	N	2	1	0	0	1	0	0	0	6	0	0	1	0	0	14	3	0	2	0	12	0	1	2	3	3	0	12	1	22	0	4	7	0	15	0	6
O15381	1	856	N	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
O15446	1	510	N	0	0	0	1	2	3	2	2	0	0	0	0	0	0	0	0	3	2	2	3	0	0	0	0	0	2	0	0	0	5	0	0	1	0	2	0
O43143	1	795	N	0	0	0	0	48	40	14	16	0	0	0	0	0	0	0	0	10	8	47	43	0	0	0	0	0	45	0	0	4	13	0	0	40	1	12	0
O43159	1	456	N	0	0	0	0	8	7	6	5	0	0	0	0	0	0	0	0	3	0	4	5	0	0	0	0	0	5	0	0	0	5	0	0	5	0	6	0
O43172	1	522	N	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0
O43175	1	533	N	4	4	6	8	2	6	1	1	14	15	6	10	5	2	14	17	0	0	4	2	1	6	3	5	2	3	14	4	0	1	3	20	4	2	1	7
O43252	1	624	N	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43290	1	800	N	0	0	0	0	2	2	3	2	0	0	0	0	0	0	0	1	1	2	2	3	0	0	0	0	0	1	0	0	2	1	0	0	2	0	2	0
O43347	1	362	N	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43353	1	540	N	1	1	2	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
O43390	1	633	N	0	0	0	0	24	22	13	10	0	0	0	0	0	0	0	0	11	14	16	16	0	0	0	0	0	17	0	0	0	12	0	0	18	0	10	0
O43395	1	683	N	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
O43396	1	289	N	5	5	7	5	3	3	2	1	7	6	8	9	4	6	3	7	0	2	1	4	2	4	7	7	5	3	4	6	3	4	4	5	2	3	1	8
O43447	1	177	N	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
O43482	1	229	N	4	4	4	4	4	5	4	4	4	4	5	5	4	4	4	5	3	4	5	3	2	4	4	5	3	4	4	4	4	5	4	5	4	5	4	3
O43583	1	198	N	2	0	1	2	0	0	0	0	2	0	1	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	3	1	9	0	1	3	0	6	2	0
O43660	1	514	N	0	0	0	0	11	10	0	6	0	0	0	0	0	0	0	0	0	4	9	5	0	0	0	0	0	6	0	0	0	6	0	0	11	0	7	0
O43663	1	620	N	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43665	1	173	N	0	0	1	2	3	0	4	0	3	3	5	4	3	1	2	3	0	2	0	0	0	4	1	1	3	4	7	1	5	1	7	5	4	2	5	4
O43670	1	478	N	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	3	0	7	0	0	0	0	7	0	0
O43677	1	76	N	4	2	4	4	5	4	4	3	3	2	2	4	2	5	3	2	4	4	3	4	2	3	3	4	4	5	4	5	4	5	2	3	3	2	4	3
O43684	1	328	N	4	4	6	8	6	5	2	4	8	4	5	6	5	5	9	8	3	6	5	9	3	4	7	4	5	5	10	4	18	6	2	5	6	7	2	8
O43734	1	574	N	2	3	4	6	1	1	5	5	11	6	9	7	6	6	5	5	2	5	6	2	0	5	2	2	7	2	10	5	8	4	5	7	6	6	5	6
O43809	1	227	N	4	5	5	3	4	2	3	2	9	5	5	6	2	5	11	6	2	2	2	6	3	5	10	8	8	2	17	6	26	3	8	8	2	16	2	8
O43818	1	475	N	0	0	0	0	19	23	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	15	0	0	0	0	0	0	19	0	0	0
O43819	1	266	N	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43837	1	385	N	3	5	5	5	3	2	2	3	4	2	4	9	4	5	3	4	4	3	2	2	0	2	1	1	2	2	3	4	3	3	3	2	3	5	2	4
O43852	1	315	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
O60229	1	2985	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
O60231	1	1041	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0
O60287	1	2271	N	0	0	0	0	2	1	2	7	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	4	0	0	3	0	4	0
O60343	1	1298	N	2	0	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
O60506	1	623	N	0	0	0	0	8	11	6	9	0	0	0	0	0	0	0	0	8	6	5	6	0	0	0	0	0	5	0	0	0	7	0	0	7	0	7	0
O60518	1	1105	N	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60547	1	372	N	4	3	3	6	1	4	1	2	6	2	5	9	5	5	3	0	2	0	0	1	0	2	3	3	7	0	0	3	3	2	3	3	2	4	2	3
O60563	1	726	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0
