ms_uniprot_ac	id	ms_unique_pep	ms_spectral_counts	names	lengths	uniprot_id	Mass
A0A0U1RRE5	FU000451		4	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000389		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000425		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000437		4	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000429		3	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000441		3	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000391		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000427		1	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000393		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000395		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000423		4	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000443		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000453		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000385		3	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000387		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000431		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000433		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000435		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000447		4	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000445		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000455		4	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000457		4	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000401		3	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000403		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000413		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000415		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000439		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000449		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000397		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000399		4	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000417		4	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000419		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000409		5	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000411		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000405		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0A0U1RRE5	FU000407		6	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
A0AVF1	FU000389		2	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000391		3	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000439		1	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000405		2	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000407		1	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000387		1	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000415		1	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000401		1	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000403		3	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A0AVF1	FU000413		1	sp|A0AVF1|IFT56_HUMAN	554	IFT56_HUMAN	60940
A1KXE4	FU000393		1	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000395		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000423		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000425		3	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000437		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000455		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000405		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000407		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000409		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000411		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000443		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000453		3	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000385		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000387		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000431		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000433		3	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000435		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000447		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000427		3	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000429		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000441		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000457		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000401		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000403		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000413		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000415		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000439		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000449		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000451		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000389		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000391		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000419		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000445		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000397		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000399		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A1KXE4	FU000417		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
A6NDG6	FU000451		8	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000423		4	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000425		3	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000437		5	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000429		9	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000389		11	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000391		7	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000427		4	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000393		12	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000395		6	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000443		4	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000453		6	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000385		12	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000387		13	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000431		6	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000433		7	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000435		9	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000447		5	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000445		5	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000441		8	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000457		6	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000401		13	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000403		9	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000413		7	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000415		6	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
A6NDG6	FU000439		6	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
