id	ms_uniprot_ac	BAIT	ms_unique_pep	ms_spectral_counts	names	lengths	uniprot_id	Mass
FU000385	A0A0U1RRE5	Vector		3	sp|A0A0U1RRE5|NBDY_HUMAN	68	NBDY_HUMAN	7480
FU000385	A1KXE4	Vector		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
FU000385	A6NDG6	Vector		12	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
FU000385	A8K7I4	Vector		1	sp|A8K7I4|CLCA1_HUMAN	914	CLCA1_HUMAN	100540
FU000385	E9PAV3	Vector		12	sp|E9PAV3|NACAM_HUMAN	2078	NACAM_HUMAN	228580
FU000385	O00170	Vector		9	sp|O00170|AIP_HUMAN	330	AIP_HUMAN	36300
FU000385	O00244	Vector		11	sp|O00244|ATOX1_HUMAN	68	ATOX1_HUMAN	7480
FU000385	O00410	Vector		2	sp|O00410|IPO5_HUMAN	1097	IPO5_HUMAN	120670
FU000385	O00458	Vector		1	sp|O00458|IFRD1_HUMAN	451	IFRD1_HUMAN	49610
FU000385	O00483	Vector		1	sp|O00483|NDUA4_HUMAN	81	NDUA4_HUMAN	8910
FU000385	O00571	Vector		9	sp|O00571|DDX3X_HUMAN	662	DDX3X_HUMAN	72820
FU000385	O00763	Vector		15	sp|O00763|ACACB_HUMAN	2458	ACACB_HUMAN	270380
FU000385	O14654	Vector		2	sp|O14654|IRS4_HUMAN	1257	IRS4_HUMAN	138270
FU000385	O14757	Vector		1	sp|O14757|CHK1_HUMAN	476	CHK1_HUMAN	52360
FU000385	O15042	Vector		54	sp|O15042|SR140_HUMAN	1029	SR140_HUMAN	113190
FU000385	O15235	Vector		7	sp|O15235|RT12_HUMAN	138	RT12_HUMAN	15180
FU000385	O15347	Vector		2	sp|O15347|HMGB3_HUMAN	200	HMGB3_HUMAN	22000
FU000385	O43175	Vector		4	sp|O43175|SERA_HUMAN	533	SERA_HUMAN	58630
FU000385	O43353	Vector		1	sp|O43353|RIPK2_HUMAN	540	RIPK2_HUMAN	59400
FU000385	O43396	Vector		5	sp|O43396|TXNL1_HUMAN	289	TXNL1_HUMAN	31790
FU000385	O43482	Vector		4	sp|O43482|MS18B_HUMAN	229	MS18B_HUMAN	25190
FU000385	O43583	Vector		2	sp|O43583|DENR_HUMAN	198	DENR_HUMAN	21780
FU000385	O43677	Vector		4	sp|O43677|NDUC1_HUMAN	76	NDUC1_HUMAN	8360
FU000385	O43684	Vector		4	sp|O43684|BUB3_HUMAN	328	BUB3_HUMAN	36080
FU000385	O43734	Vector		2	sp|O43734|CIKS_HUMAN	574	CIKS_HUMAN	63140
FU000385	O43809	Vector		4	sp|O43809|CPSF5_HUMAN	227	CPSF5_HUMAN	24970
FU000385	O43837	Vector		3	sp|O43837|IDH3B_HUMAN	385	IDH3B_HUMAN	42350
FU000385	O60343	Vector		2	sp|O60343|TBCD4_HUMAN	1298	TBCD4_HUMAN	142780
FU000385	O60547	Vector		4	sp|O60547|GMDS_HUMAN	372	GMDS_HUMAN	40920
FU000385	O60716	Vector		1	sp|O60716|CTND1_HUMAN	968	CTND1_HUMAN	106480
FU000385	O60869	Vector		2	sp|O60869|EDF1_HUMAN	148	EDF1_HUMAN	16280
FU000385	O75223	Vector		2	sp|O75223|GGCT_HUMAN	188	GGCT_HUMAN	20680
FU000385	O75340	Vector		5	sp|O75340|PDCD6_HUMAN	191	PDCD6_HUMAN	21010
FU000385	O75380	Vector		2	sp|O75380|NDUS6_HUMAN	124	NDUS6_HUMAN	13640
