Bait	Prey	Abundance	Reproducibility	Specificity	MIST	Ip	WD	WDv2	Entry.name	Gene.names	Protein.names	Length	Mass	Organism	Gene.names...primary..
EBOV_VP35	A0A0U1RRE5	0.00297735193587553	0.999456608786549	0.103176763970697	0.379108795996004	FU000393,FU000395,FU000423,FU000425,FU000437,FU000451	2.12132034355964	2.12132034355964	NBDY_HUMAN	NBDY LINC01420	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	68	7,025	Homo sapiens (Human)	NBDY
EBOV_VP35	A1KXE4	0.000467131463292501	0.973902687076196	0.10205823227043	0.370442918950842	FU000393,FU000395,FU000423,FU000425,FU000437,FU000451	1.4142135623731	1.4142135623731	F168B_HUMAN	FAM168B KIAA0280L MANI	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)	195	20,324	Homo sapiens (Human)	FAM168B
EBOV_VP35	A6NDG6	0.00088204068512817	0.950244776073293	0.0855608316566458	0.351837083433324	FU000393,FU000395,FU000423,FU000425,FU000437,FU000451	2.51661147842358	2.51661147842358	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	321	34,006	Homo sapiens (Human)	PGP
EBOV_VP35	A8CG34	2.54824061453538e-05	0.574794243710345	1	0.862851419887093	FU000423,FU000425,FU000451	26.5603660728077	5.96725615575025	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)	1229	125,092	Homo sapiens (Human)	POM121C
EBOV_VP35	A8K7I4	1.66707270573085e-05	0.385164931811236	0.1075603374011	0.192568722661082	FU000395,FU000437	1.5	1.26683455545722	CLCA1_HUMAN	CLCA1 CACC1	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)	914	100,226	Homo sapiens (Human)	CLCA1
EBOV_VP35	E9PAV3	0.000298098274062708	0.994552920421412	0.133787577601467	0.398563911524913	FU000393,FU000395,FU000423,FU000425,FU000437,FU000451	3.69684550213647	3.69684550213647	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	2078	205,422	Homo sapiens (Human)	NACA
EBOV_VP35	O00170	0.000775864496722058	0.981408860775852	0.0840702876522044	0.360429722856037	FU000393,FU000395,FU000423,FU000425,FU000437,FU000451	2.38047614284762	2.38047614284762	AIP_HUMAN	AIP XAP2	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)	330	37,636	Homo sapiens (Human)	AIP
EBOV_VP35	O00178	0.000103391380718986	0.757600241847434	0.144134408410181	0.332548597139081	FU000395,FU000425,FU000437,FU000451	2.16	1.71979702596786	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1 (G-protein 1) (GP-1) (GP1)	669	72,454	Homo sapiens (Human)	GTPBP1
EBOV_VP35	O00244	0.00751573305395193	0.987228753651988	0.120358568037739	0.3871414831088	FU000393,FU000395,FU000423,FU000425,FU000437,FU000451	3.36650164612069	3.36650164612069	ATOX1_HUMAN	ATOX1 HAH1	Copper transport protein ATOX1 (Metal transport protein ATX1)	68	7,402	Homo sapiens (Human)	ATOX1
EBOV_VP35	O00411	7.35694694379303e-05	0.950749730429806	0.636693389731546	0.729794938398418	FU000393,FU000395,FU000423,FU000425,FU000437,FU000451	47.8856511059591	4.85515146394454	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	1230	138,620	Homo sapiens (Human)	POLRMT
